,driver,midrace_pos,high_pos,low_pos,avg_pos,pass_dif,GF_Passes,GF_Passed,quality_passes,quality_pass_pct,fast_lap,top15_laps,top15_lap_pct,laps_led,LL_pct,total_laps,driver_rating,race_num,year,start,finish,laps,pos_dif,finishpoints,DFS,DfsRank
161,Elliott Sadler,9,1,17,6,17,66,49,61,92.4,10,145,96.7,4,2.7,150,114.8,5,2018,11,3,150,8,41,54.5,3
162,Daniel Hemric,7,3,12,7,0,51,51,47,92.2,2,150,100.0,0,0.0,150,105.7,5,2018,5,5,150,0,39,39.9,7
163,Tyler Reddick,2,1,16,4,14,49,35,43,87.8,18,150,100.0,0,0.0,150,114.4,5,2018,16,7,150,9,37,54.1,4
164,Ryan Preece,8,4,13,8,-2,45,47,40,88.9,1,150,100.0,0,0.0,150,95.8,5,2018,8,9,150,-1,35,34.45,12
165,Spencer Gallagher,15,5,20,14,-4,70,74,52,74.3,0,113,75.3,0,0.0,150,82.7,5,2018,15,11,150,4,32,36.0,10
166,Brandon Jones,12,2,20,15,-25,63,88,37,58.7,0,66,44.0,0,0.0,150,79.7,5,2018,9,13,150,-4,30,26.0,16
167,Jeremy Clements,17,3,22,17,-1,54,55,22,40.7,0,39,26.0,0,0.0,150,71.7,5,2018,22,15,150,7,28,35.0,11
168,Ryan Reed,21,7,21,16,-6,39,45,14,35.9,0,52,34.7,0,0.0,150,71.5,5,2018,7,17,150,-10,26,16.0,23
169,Alex Labbe,24,15,32,23,-8,23,31,0,0.0,0,1,0.7,0,0.0,150,62.3,5,2018,21,19,150,2,24,26.0,16
170,Christopher Bell,4,1,22,10,-3,29,32,22,75.9,11,99,66.0,4,2.7,150,93.5,5,2018,1,21,150,-20,21,6.95,26
171,Garrett Smithley,23,23,31,26,-5,29,34,0,0.0,0,0,0.0,0,0.0,149,53.7,5,2018,25,23,149,2,19,21.0,20
172,Josh Williams,32,25,33,29,-1,18,19,0,0.0,0,0,0.0,0,0.0,148,48.3,5,2018,27,25,148,2,17,19.0,22
173,Vinnie Miller,26,25,34,28,5,42,37,0,0.0,0,0,0.0,0,0.0,148,47.5,5,2018,34,27,148,7,15,22.0,19
174,John Hunter Nemechek,31,3,32,20,-10,21,31,16,76.2,0,62,41.3,0,0.0,147,78.0,5,2018,3,29,147,-26,13,-13.0,33
175,Stephen Leicht,33,31,39,33,3,9,6,0,0.0,0,0,0.0,0,0.0,132,34.8,5,2018,37,31,132,6,10,16.0,23
176,Dylan Lupton,19,14,40,24,10,24,14,0,0.0,0,3,2.0,0,0.0,109,54.5,5,2018,40,33,109,7,8,15.0,24
177,Timmy Hill,35,33,38,34,-2,10,12,0,0.0,0,0,0.0,0,0.0,56,31.2,5,2018,35,35,56,0,6,6.0,27
178,Matt Mills,37,29,34,35,-4,6,10,0,0.0,0,0,0.0,0,0.0,29,31.8,5,2018,30,37,29,-7,4,-3.0,31
179,Jeff Green,39,32,38,38,-1,9,10,0,0.0,0,0,0.0,0,0.0,10,27.7,5,2018,32,39,10,-7,2,-5.0,32
180,Justin Allgaier,6,1,7,3,11,53,42,47,88.7,10,150,100.0,2,1.3,150,119.5,5,2018,6,2,150,4,42,51.0,5
