,finish_pos,qual_pos,season_mid,season_high,season_low,group_len,season_avg,seasonpassdif,seasongreenpass,seasongreenpassed,seasonqualitypass,seasonfastlap,seasontop15,seasonlapled,seasonDR,DFS_avg,season_long_mid,season_long_high,season_long_low,season_long_avg,seasonlongpassdif,seasonlonggreenpass,seasonlonggreenpassed,seasonlongqualitypass,seasonlongfastlap,seasonlongtop15,seasonlonglapled,seasonlongDR,DFS_avg_season,num_starts,DFS,DfsRank,top3,top5,top10,car_make_Chevrolet,car_make_Ford,car_make_Toyota,owner_Chip Ganassi,owner_Chris Our,owner_Fred Biagi,owner_Fury Race Cars,owner_JR Motorsports,owner_Jack Roush,owner_Jeremy Clements,owner_Jerry Brown,owner_Joe Gibbs,owner_Matt Hurley,owner_Matt Kaulig,owner_Maury Gallagher,owner_Richard Childress,owner_Roger Penske,owner_SS Green Light Racing,owner_Stewart Haas Racing
1708,1.0,15.0,14.0,4.0,28.0,1.5,15.0,15.0,49.0,40.0,31.0,1.0,119.0,0.0,80.8,33.0,3.0,32.0,14.5,16.0,48.5,40.0,29.5,58.25,110.5,77.15,0.0,12.5,9.0,26.0,81.55,2.0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1709,22.0,16.0,15.0,7.0,31.5,1.5,18.0,-11.0,42.0,53.5,23.0,0.0,71.5,0.0,65.75,-3.0,5.0,34.0,17.0,-4.0,46.0,49.0,18.0,40.4,60.0,51.3,0.0,14.0,17.0,112.0,14.0,28.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1710,20.0,24.0,34.0,25.0,39.0,1.5,34.0,-14.0,24.0,38.0,0.0,0.0,0.0,0.0,35.0,7.0,7.0,34.0,26.0,-7.0,60.0,61.0,5.0,14.0,25.0,12.8,0.0,7.0,27.0,5.0,27.0,20.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1711,12.0,27.0,16.0,5.0,29.0,1.5,16.0,2.0,58.0,45.0,22.0,1.0,77.0,0.0,83.4,39.1,5.0,31.5,15.0,5.5,50.0,46.5,22.5,59.599999999999994,71.0,67.15,0.0,12.5,15.0,56.0,46.0,8.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1712,3.0,1.0,10.0,2.0,26.0,2.7,12.0,7.0,134.0,125.0,124.0,2.0,87.0,0.0,84.7,-7.1,1.0,27.0,7.0,7.5,38.5,29.0,30.0,74.75,146.0,93.1,6.15,14.5,8.5,366.0,41.2,14.0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1713,8.0,2.0,3.0,1.0,27.0,2.7,6.0,4.0,98.0,86.0,91.0,2.0,87.0,24.0,114.3,48.8,1.0,24.5,5.0,5.0,35.5,26.0,27.0,79.95,122.5,95.30000000000001,23.05,14.5,5.5,127.0,33.85,18.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1714,9.0,3.0,13.0,1.5,37.0,2.7,13.5,-2.5,154.5,157.0,106.0,1.0,72.5,0.0,76.05,-8.55,3.0,32.0,14.0,17.0,49.0,40.0,30.0,62.8,111.0,79.1,0.0,13.0,6.0,27.0,32.9,19.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1715,30.0,4.0,7.0,1.0,32.0,2.7,8.0,7.0,147.0,131.0,113.0,4.0,78.0,8.0,104.5,36.9,1.0,24.5,8.0,7.5,44.0,26.5,28.5,79.65,140.5,94.05000000000001,0.25,14.5,9.5,96.0,-11.1,37.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1716,39.0,5.0,4.0,2.0,31.0,2.7,11.0,22.0,136.0,125.0,96.0,1.0,94.0,0.0,103.8,51.25,1.0,25.0,6.0,10.5,39.5,32.0,28.5,81.1,131.5,94.85,5.6,14.5,8.5,54.0,-31.25,40.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1717,4.0,6.0,15.0,1.0,29.0,2.7,10.0,2.0,172.0,120.0,103.0,1.0,84.0,0.0,92.5,38.45,1.0,29.0,8.5,1.5,43.5,38.5,27.5,71.05000000000001,145.0,90.25,5.15,14.5,13.0,114.0,42.45,10.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
